title,author,lent_by,lent_since,lent_times,year,catalogued,location,excerpt
Glorious Saga of the Dungeon Dimensions,Mastermagician Andrew Howard,Michael Rogers,year -386 in the 2nd month,0,The 6th year after Librarian's Wrath,year -297 in the 4th month,Mended Drum: middle shelve. 9m from the start,Improve wear station join girl.
Perilous Anecdote of the Witches,Kathryn James,Wesley Curtis,year -274 in the 9th month,3,The 7th year after Hedgehog,year 0294 in the 9th month,Great Hall: bottom shelve. 10m from the end,Always dinner wife lawyer management agency thousand.
Bizarre Adventure of the Nac Mac Feegle,High Wizard of Unseen Justin Butler,Amanda Berg,year 0279 in the 7th month,5,The 6th year after Topsy-Turvy Times,year 0473 in the 5th month,Dungeon Dimensions: top shelve. 4m from the end,Cup who list firm per government.
Astounding Allegory of the Agatean Empire,Ian Brown,Kevin Martin,year 0129 in the 9th month,7,The 2nd year after Seamstress's Secrets,year 0278 in the 3rd month,Tower of Art: bottom shelve. 2m from the end,Assume mouth cut clear year.
Stupendous Allegory of the Dungeon Dimensions,Professor John Cook,Ryan Scott,year -087 in the 10th month,42,The 6th year after Squid,year 0020 in the 7th month,Tower of Art: bottom shelve. 7m from the start,Ground car political happy think short.
Remarkable Legend of the Librarian,Thomas Coleman,Matthew Nguyen,year -416 in the 5th month,0,The 5th year after Prawn,year -182 in the 7th month,Restricted Section: bottom shelve. 8m from the start,Herself inside simple security my final prevent.
Dauntless Journey of the Dungeon Dimensions,Allen Joyce,,,42,The 2nd year after Silver Horde,year 0076 in the 11th month,Restricted Section: bottom shelve. 5m from the start,Middle girl something around store past.
Puzzling Exploit of the Lancre,Supreme Archchancellor Susan Strickland,Angela Williams,year -445 in the 10th month,2,The 5th year after Crystal Goblins,year 0259 in the 8th month,Mended Drum: bottom shelve. 8m from the end,Issue brother already.
Glorious Saga of the City Watch,Eminent Thief Jose Hampton,,,42,The 4th year after Squid,year -084 in the 10th month,Mended Drum: top shelve. 6m from the start,Trouble least benefit affect thank price chance.
Bizarre Allegory of the City Watch,Imperial Assassin Cassandra Miller,,,9,The 5th year after Guild Wars,year 0373 in the 7th month,Tower of Art: bottom shelve. 4m from the end,Important character pull college.
Enigmatic Expedition in Ankh-Morpork,Principal Witch Brooke Baker,,,8,The 1st year after Silver Horde,year 0368 in the 8th month,Tower of Art: top shelve. 2m from the start,Letter often prevent year long must provide sound.
